ID,x,y
1,951,256
2,6992,4362
3,5669,180
4,0,341
5,7015,192
6,833,734
7,1504,411
8,1042,71
9,699,1013
10,1031,173
11,3312,4516
12,5805,484
13,291,4286
14,465,1426
15,6505,407
16,1075,4658
17,1076,7996
18,1763,3254
19,2744,4719
20,505,7133
21,203,1007
22,3004,2759
23,4187,6912
24,820,2279
25,7141,3316
26,4271,3611
27,1403,2632
28,251,3387
29,1249,907
30,611,3292
31,130,159
32,1653,6377
33,247,5620
34,262,142
35,1444,1102
36,2980,3864
37,77,884
38,4570,1163
39,106,182
40,272,1866
41,1397,1344
42,1238,1171
43,82,2286
44,1497,2573
45,7416,5625
46,2366,5669
47,726,4585
48,2877,304
49,5123,2823
50,2102,1306
51,179,2099
52,1867,340
53,639,1039
54,511,312
55,3511,4589
56,976,7574
57,623,1059
58,760,2820
59,390,547
60,7715,2092
61,5669,7036
62,425,4888
63,1204,2642
64,6602,4712
65,4753,6588
66,3893,1318
67,4306,2747
68,311,1054
69,32,3755
70,3028,56
71,19,7455
72,1874,1469
73,4560,3926
74,964,678
75,3525,121
76,419,39
77,23,53
78,258,2437
79,289,4812
80,1004,999
81,5951,325
82,4913,3288
83,1348,181
84,1647,2306
85,328,7005
86,3933,2285
87,3308,1245
88,2602,4017
89,833,406
90,511,1141
91,1543,828
92,260,2399
93,2585,2514
94,5621,1447
95,929,3887
96,1164,3850
97,9699,1905
98,1591,362
99,5996,1344
100,84,2389
101,5635,5732
102,1907,6059
103,908,1117
104,442,2333
105,652,5389
106,895,1172
107,212,460
108,26,7207
109,1875,777
110,5131,1472
111,1267,397
112,319,3142
113,3065,915
114,9006,4365
115,52,3106
116,2278,2427
117,3523,2690
118,474,1978
119,355,145
120,612,196
121,1394,132
122,490,2691
123,1123,1105
124,916,1908
125,427,1731
126,7212,4933
127,403,31
128,2090,249
129,71,2912
130,669,4233
131,6267,3140
132,812,6614
133,3740,3175
134,442,2909
135,91,2452
136,4547,981
137,145,3123
138,1197,293
139,210,1689
140,336,339
141,3530,4050
142,1935,1789
143,4535,1759
144,2091,2988
145,1947,1507
146,5821,2653
147,3747,5897
148,116,1199
149,3243,3366
150,52,2897
151,1129,879
152,1930,262
153,6486,4356
154,5447,98
155,1551,4178
156,6419,7349
157,472,8855
158,2910,3411
159,1689,2289
160,1455,914
161,18,4016
162,2058,872
163,7479,240
164,3215,637
165,2008,443
166,59,806
167,881,1015
168,2047,4185
169,536,2497
170,3282,450
171,2141,7021
172,727,141
173,316,1420
174,4093,3235
175,5406,3099
176,3406,593
177,580,2449
178,186,736
179,95,5022
180,1681,849
181,64,215
182,823,395
183,107,2025
184,2806,1091
185,2054,3901
186,5840,819
187,2398,143
188,3479,1164
189,4052,181
190,1084,464
191,4611,3178
192,718,1426
193,6398,7163
194,1046,921
195,1513,1146
196,4116,876
197,2122,5408
198,824,1197
199,3170,2031
200,7100,2303
201,1751,11
202,5598,167
203,285,3336
204,2627,2369
205,812,3452
206,3074,4282
207,610,2272
208,3067,8742
209,1460,4323
210,537,1856
211,248,799
212,3936,1455
213,3919,5932
214,3539,4606
215,3815,6181
216,792,199
217,4848,462
218,3347,4797
219,4316,4593
220,889,459
221,3822,1970
222,6718,2906
223,5428,1626
224,0,4431
225,7409,290
226,2580,4071
227,4015,55
228,2792,743
229,440,1530
230,4692,3467
231,3236,5902
232,3807,65
233,593,295
234,1790,1158
235,7801,730
236,414,1199
237,690,2662
238,297,9426
239,1174,1524
240,5088,1863
241,4087,2385
242,609,1732
243,276,6117
244,162,143
245,611,575
246,1554,3726
247,1151,3253
248,5869,710
249,2725,2015
250,2691,9329
251,1125,8175
252,1087,1997
253,1539,37
254,7114,3463
255,1885,3504
256,924,1460
257,4523,4334
258,5479,422
259,3913,861
260,53,7996
261,502,4637
262,7456,5132
263,4072,1493
264,1642,1926
265,7189,2732
266,3258,5074
267,2042,4850
268,515,7628
269,1806,426
270,3315,185
271,8694,2290
272,2013,1773
273,3815,296
274,4579,405
275,4526,3279
276,478,3790
277,6256,5619
278,8015,1376
279,865,6686
280,622,412
281,1094,2041
282,8033,815
283,6622,47
284,3926,4443
285,5484,6419
286,1255,2210
287,5841,1316
288,6337,5484
289,93,380
290,1012,2911
291,2807,2175
292,80,323
293,2893,6843
294,3985,4318
295,2043,495
296,484,19
297,2238,279
298,235,2742
299,5528,5920
300,4965,1079
